Date : 2023-04-24 12:01:46
Directory : /Users/matiasfonseca/Desktop/EasyEcommerce/frontend
Total : 260 files,  35919 codes, 767 comments, 2131 blanks, all 38817 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/ui/logistic/transport_invoices_cxc (Files)                                                                                       |          4 |        807 |         13 |         48 |        868 |
| lib/ui/logistic/transport_invoices_cxc/controllers                                                                                   |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/update_password                                                                                                      |          2 |        176 |          2 |          9 |        187 |
| lib/ui/logistic/update_password (Files)                                                                                              |          1 |        163 |          2 |          7 |        172 |
| lib/ui/logistic/update_password/controllers                                                                                          |          1 |         13 |          0 |          2 |         15 |
| lib/ui/logistic/vendor_invoices                                                                                                      |          5 |        843 |         41 |         51 |        935 |
| lib/ui/logistic/vendor_invoices (Files)                                                                                              |          4 |        839 |         41 |         49 |        929 |
| lib/ui/logistic/vendor_invoices/controllers                                                                                          |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/vendor_withdrawal_request                                                                                            |          3 |        558 |          1 |         25 |        584 |
| lib/ui/logistic/vendor_withdrawal_request (Files)                                                                                    |          2 |        554 |          1 |         23 |        578 |
| lib/ui/logistic/vendor_withdrawal_request/controllers                                                                                |          1 |          4 |          0 |          2 |          6 |
| lib/ui/logistic/withdrawal_assignment                                                                                                |          1 |         23 |          0 |          4 |         27 |
| lib/ui/operator                                                                                                                      |         12 |      2,598 |          6 |        115 |      2,719 |
| lib/ui/operator/layout                                                                                                               |          1 |         90 |          0 |          8 |         98 |
| lib/ui/operator/my_operator_account                                                                                                  |          1 |         62 |          0 |          4 |         66 |
| lib/ui/operator/orders_operator                                                                                                      |          3 |        615 |          1 |         29 |        645 |
| lib/ui/operator/orders_operator (Files)                                                                                              |          2 |        551 |          1 |         24 |        576 |
| lib/ui/operator/orders_operator/controllers                                                                                          |          1 |         64 |          0 |          5 |         69 |
| lib/ui/operator/received_values.dart                                                                                                 |          2 |        603 |          2 |         28 |        633 |
| lib/ui/operator/returns                                                                                                              |          1 |        419 |          0 |         11 |        430 |
| lib/ui/operator/state_orders                                                                                                         |          2 |        634 |          1 |         26 |        661 |
| lib/ui/operator/update_password_operator                                                                                             |          2 |        175 |          2 |          9 |        186 |
| lib/ui/operator/update_password_operator (Files)                                                                                     |          1 |        162 |          2 |          7 |        171 |
| lib/ui/operator/update_password_operator/controllers                                                                                 |          1 |         13 |          0 |          2 |         15 |
| lib/ui/sellers                                                                                                                       |         37 |      6,276 |         15 |        296 |      6,587 |
| lib/ui/sellers/add_seller_user                                                                                                       |          3 |        595 |          0 |         19 |        614 |
| lib/ui/sellers/add_seller_user (Files)                                                                                               |          2 |        591 |          0 |         17 |        608 |
| lib/ui/sellers/add_seller_user/controllers                                                                                           |          1 |          4 |          0 |          2 |          6 |
| lib/ui/sellers/cash_withdrawals_sellers                                                                                              |          5 |        495 |          1 |         34 |        530 |
| lib/ui/sellers/cash_withdrawals_sellers (Files)                                                                                      |          3 |        487 |          1 |         30 |        518 |
| lib/ui/sellers/cash_withdrawals_sellers/controllers                                                                                  |          2 |          8 |          0 |          4 |         12 |
| lib/ui/sellers/dashboard                                                                                                             |          1 |        609 |          2 |         29 |        640 |
| lib/ui/sellers/delivery_status                                                                                                       |          2 |        598 |          1 |         26 |        625 |
| lib/ui/sellers/layout                                                                                                                |          1 |        150 |          0 |          9 |        159 |
| lib/ui/sellers/my_cart_sellers                                                                                                       |          2 |        124 |          0 |          7 |        131 |
| lib/ui/sellers/my_cart_sellers (Files)                                                                                               |          1 |        118 |          0 |          5 |        123 |
| lib/ui/sellers/my_cart_sellers/controllers                                                                                           |          1 |          6 |          0 |          2 |          8 |
| lib/ui/sellers/my_seller_account                                                                                                     |          2 |        233 |          0 |         10 |        243 |
| lib/ui/sellers/my_seller_account (Files)                                                                                             |          1 |        209 |          0 |          7 |        216 |
| lib/ui/sellers/my_seller_account/controllers                                                                                         |          1 |         24 |          0 |          3 |         27 |
| lib/ui/sellers/my_stock                                                                                                              |          2 |        109 |          0 |          7 |        116 |
| lib/ui/sellers/my_stock (Files)                                                                                                      |          1 |        103 |          0 |          5 |        108 |
| lib/ui/sellers/my_stock/controllers                                                                                                  |          1 |          6 |          0 |          2 |          8 |
| lib/ui/sellers/order_entry                                                                                                           |          3 |        800 |          1 |         31 |        832 |
| lib/ui/sellers/order_entry (Files)                                                                                                   |          2 |        736 |          1 |         26 |        763 |
| lib/ui/sellers/order_entry/controllers                                                                                               |          1 |         64 |          0 |          5 |         69 |
| lib/ui/sellers/order_history_sellers                                                                                                 |          3 |        460 |          5 |         23 |        488 |
| lib/ui/sellers/order_history_sellers (Files)                                                                                         |          2 |        456 |          5 |         21 |        482 |
| lib/ui/sellers/order_history_sellers/controllers                                                                                     |          1 |          4 |          0 |          2 |          6 |
| lib/ui/sellers/providers_sellers                                                                                                     |          2 |        111 |          0 |          7 |        118 |
| lib/ui/sellers/providers_sellers (Files)                                                                                             |          1 |        107 |          0 |          5 |        112 |
| lib/ui/sellers/providers_sellers/controllers                                                                                         |          1 |          4 |          0 |          2 |          6 |
| lib/ui/sellers/returns_seller                                                                                                        |          3 |        525 |          1 |         22 |        548 |
| lib/ui/sellers/returns_seller (Files)                                                                                                |          2 |        519 |          1 |         20 |        540 |
| lib/ui/sellers/returns_seller/controllers                                                                                            |          1 |          6 |          0 |          2 |          8 |
| lib/ui/sellers/sales_report                                                                                                          |          3 |        736 |          2 |         36 |        774 |
| lib/ui/sellers/sales_report (Files)                                                                                                  |          2 |        716 |          2 |         32 |        750 |
| lib/ui/sellers/sales_report/controllers                                                                                              |          1 |         20 |          0 |          4 |         24 |
| lib/ui/sellers/unwanted_orders_sellers                                                                                               |          2 |        417 |          0 |         17 |        434 |
| lib/ui/sellers/unwanted_orders_sellers (Files)                                                                                       |          1 |        392 |          0 |         15 |        407 |
| lib/ui/sellers/unwanted_orders_sellers/controllers                                                                                   |          1 |         25 |          0 |          2 |         27 |
| lib/ui/sellers/update_password                                                                                                       |          2 |        177 |          2 |          9 |        188 |
| lib/ui/sellers/update_password (Files)                                                                                               |          1 |        164 |          2 |          7 |        173 |
| lib/ui/sellers/update_password/controllers                                                                                           |          1 |         13 |          0 |          2 |         15 |
| lib/ui/sellers/wallet_sellers                                                                                                        |          1 |        137 |          0 |         10 |        147 |
| lib/ui/transport                                                                                                                     |         30 |      5,293 |         79 |        258 |      5,630 |
| lib/ui/transport/add_operators_transport                                                                                             |          3 |        767 |          3 |         38 |        808 |
| lib/ui/transport/add_operators_transport (Files)                                                                                     |          2 |        714 |          3 |         29 |        746 |
| lib/ui/transport/add_operators_transport/controllers                                                                                 |          1 |         53 |          0 |          9 |         62 |
| lib/ui/transport/create_sub_routes_transport                                                                                         |          2 |        114 |          0 |          7 |        121 |
| lib/ui/transport/create_sub_routes_transport (Files)                                                                                 |          1 |        110 |          0 |          5 |        115 |
| lib/ui/transport/create_sub_routes_transport/controllers                                                                             |          1 |          4 |          0 |          2 |          6 |
| lib/ui/transport/delivery_status_transport                                                                                           |          3 |        626 |          1 |         28 |        655 |
| lib/ui/transport/delivery_status_transport (Files)                                                                                   |          2 |        620 |          1 |         26 |        647 |
| lib/ui/transport/delivery_status_transport/controllers                                                                               |          1 |          6 |          0 |          2 |          8 |
| lib/ui/transport/layout                                                                                                              |          1 |         96 |          0 |          8 |        104 |
| lib/ui/transport/my_orders_prv                                                                                                       |          3 |        644 |          1 |         27 |        672 |
| lib/ui/transport/my_orders_prv (Files)                                                                                               |          2 |        640 |          1 |         25 |        666 |
| lib/ui/transport/my_orders_prv/controllers                                                                                           |          1 |          4 |          0 |          2 |          6 |
| lib/ui/transport/my_transporter_account                                                                                              |          2 |         91 |         57 |         11 |        159 |
| lib/ui/transport/my_transporter_account (Files)                                                                                      |          1 |         91 |         57 |         10 |        158 |
| lib/ui/transport/my_transporter_account/controllers                                                                                  |          1 |          0 |          0 |          1 |          1 |
| lib/ui/transport/orders_history_transport                                                                                            |          3 |        478 |          5 |         26 |        509 |
| lib/ui/transport/orders_history_transport (Files)                                                                                    |          2 |        472 |          5 |         24 |        501 |
| lib/ui/transport/orders_history_transport/controllers                                                                                |          1 |          6 |          0 |          2 |          8 |
| lib/ui/transport/payment_vouchers_transport                                                                                          |          5 |      1,082 |          7 |         52 |      1,141 |
| lib/ui/transport/payment_vouchers_transport (Files)                                                                                  |          4 |      1,078 |          7 |         50 |      1,135 |
| lib/ui/transport/payment_vouchers_transport/controllers                                                                              |          1 |          4 |          0 |          2 |          6 |
| lib/ui/transport/returns_transport                                                                                                   |          3 |        513 |          1 |         22 |        536 |
| lib/ui/transport/returns_transport (Files)                                                                                           |          2 |        509 |          1 |         20 |        530 |
| lib/ui/transport/returns_transport/controllers                                                                                       |          1 |          4 |          0 |          2 |          6 |
| lib/ui/transport/transportation_billing                                                                                              |          3 |        706 |          2 |         30 |        738 |
| lib/ui/transport/transportation_billing (Files)                                                                                      |          2 |        702 |          2 |         28 |        732 |
| lib/ui/transport/transportation_billing/controllers                                                                                  |          1 |          4 |          0 |          2 |          6 |
| lib/ui/transport/update_password_transport                                                                                           |          2 |        176 |          2 |          9 |        187 |
| lib/ui/transport/update_password_transport (Files)                                                                                   |          1 |        163 |          2 |          7 |        172 |
| lib/ui/transport/update_password_transport/controllers                                                                               |          1 |         13 |          0 |          2 |         15 |
| lib/ui/utils                                                                                                                         |          1 |         36 |          1 |          2 |         39 |
| lib/ui/welcome                                                                                                                       |          1 |        150 |          0 |          4 |        154 |
| lib/ui/widgets                                                                                                                       |         23 |      3,774 |         13 |        163 |      3,950 |
| lib/ui/widgets (Files)                                                                                                               |          5 |        229 |          0 |         14 |        243 |
| lib/ui/widgets/forms                                                                                                                 |          8 |        612 |          0 |         35 |        647 |
| lib/ui/widgets/logistic                                                                                                              |          4 |      1,254 |          6 |         27 |      1,287 |
| lib/ui/widgets/logistic (Files)                                                                                                      |          2 |        805 |          1 |         14 |        820 |
| lib/ui/widgets/logistic/data                                                                                                         |          1 |         67 |          5 |          6 |         78 |
| lib/ui/widgets/logistic/layout                                                                                                       |          1 |        382 |          0 |          7 |        389 |
| lib/ui/widgets/routes                                                                                                                |          3 |        485 |          6 |         39 |        530 |
| lib/ui/widgets/sellers                                                                                                               |          1 |        321 |          0 |          5 |        326 |
| lib/ui/widgets/transport                                                                                                             |          1 |        160 |          0 |          4 |        164 |
| lib/ui/widgets/update_status_operator                                                                                                |          1 |        713 |          1 |         39 |        753 |
| linux                                                                                                                                |          5 |        102 |         27 |         38 |        167 |
| linux (Files)                                                                                                                        |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                                        |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                                                |          8 |        489 |          3 |         15 |        507 |
| macos/Flutter                                                                                                                        |          1 |         10 |          3 |          4 |         17 |
| macos/Runner                                                                                                                         |          5 |        463 |          0 |          9 |        472 |
| macos/Runner (Files)                                                                                                                 |          3 |         52 |          0 |          7 |         59 |
| macos/Runner.xcodeproj                                                                                                               |          1 |          8 |          0 |          1 |          9 |
| macos/Runner.xcodeproj/project.xcworkspace                                                                                           |          1 |          8 |          0 |          1 |          9 |
| macos/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                              |          1 |          8 |          0 |          1 |          9 |
| macos/Runner.xcworkspace                                                                                                             |          1 |          8 |          0 |          1 |          9 |
| macos/Runner.xcworkspace/xcshareddata                                                                                                |          1 |          8 |          0 |          1 |          9 |
| macos/Runner/Assets.xcassets                                                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                              |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                  |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                              |         10 |        440 |         91 |        142 |        673 |
| windows/flutter                                                                                                                      |          2 |         14 |          9 |         11 |         34 |
| windows/runner                                                                                                                       |          8 |        426 |         82 |        131 |        639 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/README.md                                                                        | Markdown   |         10 |          0 |          7 |         17 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/analysis_options.yaml                                                            | YAML       |          3 |         23 |          4 |         30 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/build.gradle                                                         | Groovy     |         54 |          5 |         13 |         72 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/src/debug/AndroidManifest.xml                                        | XML        |          4 |          4 |          1 |          9 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/src/main/AndroidManifest.xml                                         | XML        |         28 |          6 |          1 |         35 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/src/main/res/drawable-v21/launch_background.xml                      | XML        |          4 |          7 |          2 |         13 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/src/main/res/drawable/launch_background.xml                          | XML        |          4 |          7 |          2 |         13 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/src/main/res/values-night/styles.xml                                 | XML        |          9 |          9 |          1 |         19 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/src/main/res/values/styles.xml                                       | XML        |          9 |          9 |          1 |         19 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/app/src/profile/AndroidManifest.xml                                      | XML        |          4 |          4 |          1 |          9 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/build.gradle                                                             | Groovy     |         27 |          0 |          5 |         32 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/gradle.properties                                                        | Properties |          3 |          0 |          1 |          4 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/gradle/wrapper/gradle-wrapper.properties                                 | Properties |          5 |          0 |          1 |          6 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/android/settings.gradle                                                          | Groovy     |          8 |          0 |          4 |         12 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Flutter/AppFrameworkInfo.plist                                               | XML        |         26 |          0 |          1 |         27 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist   | XML        |          8 |          0 |          1 |          9 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                     | XML        |          8 |          0 |          1 |          9 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/AppDelegate.swift                                                     | Swift      |         12 |          0 |          2 |         14 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                      | JSON       |        122 |          0 |          1 |        123 |
| /Users/matiasfonseca/Desktop/EasyEcommerce/frontend/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                    | JSON       |         23 |          0 |          1 |         24 |
